"sentence,tense,aspect"
Catherine edited the documentary,past simple,perfect
Catherine was filming the documentary,past progressive,progressive
Catherine edited the documentary,past simple,perfect
Catherine has filmed the documentary,present perfect,perfect
Catherine edited the documentary,past simple,perfect
Catherine had filmed the documentary,past perfect,perfect
Catherine edited the documentary,past simple,perfect
Catherine will film the documentary,future simple,progressive
Catherine edited the documentary,past simple,perfect
Catherine films the documentary,present simple,progressive
Catherine edited the documentary,past simple,perfect
Catherine filmed the documentary,past simple,perfect
Catherine is filming the documentary,present progressive,progressive
Catherine is editing the documentary,present progressive,progressive
Catherine is filming the documentary,present progressive,progressive
Catherine was editing the documentary,past progressive,progressive
Catherine is filming the documentary,present progressive,progressive
Catherine has edited the documentary,present perfect,perfect
Catherine is filming the documentary,present progressive,progressive
Catherine had edited the documentary,past perfect,perfect
Catherine is filming the documentary,present progressive,progressive
Catherine will edit the documentary,future simple,progressive
Catherine is filming the documentary,present progressive,progressive
Catherine edits the documentary,present simple,progressive
Catherine is filming the documentary,present progressive,progressive
Catherine edited the documentary,past simple,perfect
Catherine was filming the documentary,past progressive,progressive
Catherine is editing the documentary,present progressive,progressive
Catherine was filming the documentary,past progressive,progressive
Catherine was editing the documentary,past progressive,progressive
Catherine was filming the documentary,past progressive,progressive
Catherine has edited the documentary,present perfect,perfect
Catherine was filming the documentary,past progressive,progressive
Catherine had edited the documentary,past perfect,perfect
Catherine was filming the documentary,past progressive,progressive
Catherine will edit the documentary,future simple,progressive
Catherine was filming the documentary,past progressive,progressive
Catherine edits the documentary,present simple,progressive
Catherine was filming the documentary,past progressive,progressive
Catherine edited the documentary,past simple,perfect
Catherine has filmed the documentary,present perfect,perfect
Catherine is editing the documentary,present progressive,progressive
Catherine has filmed the documentary,present perfect,perfect
Catherine was editing the documentary,past progressive,progressive
Catherine has filmed the documentary,present perfect,perfect
Catherine has edited the documentary,present perfect,perfect
Catherine has filmed the documentary,present perfect,perfect
Catherine had edited the documentary,past perfect,perfect
Catherine has filmed the documentary,present perfect,perfect
Catherine will edit the documentary,future simple,progressive
Catherine has filmed the documentary,present perfect,perfect
Catherine edits the documentary,present simple,progressive
Catherine has filmed the documentary,present perfect,perfect
Catherine edited the documentary,past simple,perfect
Catherine had filmed the documentary,past perfect,perfect
Catherine is editing the documentary,present progressive,progressive
Catherine had filmed the documentary,past perfect,perfect
Catherine was editing the documentary,past progressive,progressive
Catherine had filmed the documentary,past perfect,perfect
Catherine has edited the documentary,present perfect,perfect
Catherine had filmed the documentary,past perfect,perfect
Catherine had edited the documentary,past perfect,perfect
Catherine had filmed the documentary,past perfect,perfect
Catherine will edit the documentary,future simple,progressive
Catherine had filmed the documentary,past perfect,perfect
Catherine edits the documentary,present simple,progressive
Catherine had filmed the documentary,past perfect,perfect
Catherine edited the documentary,past simple,perfect
Catherine will film the documentary,future simple,progressive
Catherine is editing the documentary,present progressive,progressive
Catherine will film the documentary,future simple,progressive
Catherine was editing the documentary,past progressive,progressive
Catherine will film the documentary,future simple,progressive
Catherine has edited the documentary,present perfect,perfect
Catherine will film the documentary,future simple,progressive
Catherine had edited the documentary,past perfect,perfect
Catherine will film the documentary,future simple,progressive
Catherine will edit the documentary,future simple,progressive
Catherine will film the documentary,future simple,progressive
Catherine edits the documentary,present simple,progressive
Catherine will film the documentary,future simple,progressive
Catherine edited the documentary,past simple,perfect
Catherine films the documentary,present simple,progressive
Catherine is editing the documentary,present progressive,progressive
Catherine films the documentary,present simple,progressive
Catherine was editing the documentary,past progressive,progressive
Catherine films the documentary,present simple,progressive
Catherine has edited the documentary,present perfect,perfect
Catherine films the documentary,present simple,progressive
Catherine had edited the documentary,past perfect,perfect
Catherine films the documentary,present simple,progressive
Catherine will edit the documentary,future simple,progressive
Catherine films the documentary,present simple,progressive
Catherine edits the documentary,present simple,progressive
Catherine films the documentary,present simple,progressive
Catherine edited the documentary,past simple,perfect
Catherine filmed the documentary,past simple,perfect
Catherine is editing the documentary,present progressive,progressive
Catherine filmed the documentary,past simple,perfect
Catherine was editing the documentary,past progressive,progressive
Catherine filmed the documentary,past simple,perfect
Catherine has edited the documentary,present perfect,perfect
Catherine filmed the documentary,past simple,perfect
Catherine had edited the documentary,past perfect,perfect
Catherine filmed the documentary,past simple,perfect
Catherine will edit the documentary,future simple,progressive
Catherine filmed the documentary,past simple,perfect
Catherine edits the documentary,present simple,progressive
Catherine filmed the documentary,past simple,perfect
Catherine edited the documentary,past simple,perfect
Jolene is meeting with Bill,present progressive,progressive
Jolene has agreed with Bill,present perfect,perfect
Jolene is meeting with Bill,present progressive,progressive
Jolene had agreed with Bill,past perfect,perfect
Jolene is meeting with Bill,present progressive,progressive
Jolene will agree with Bill,future simple,progressive
Jolene is meeting with Bill,present progressive,progressive
Jolene agrees with Bill,present simple,progressive
Jolene is meeting with Bill,present progressive,progressive
Jolene agreed with Bill,past simple,perfect
Jolene was meeting with Bill,past progressive,progressive
Jolene has agreed with Bill,present perfect,perfect
Jolene was meeting with Bill,past progressive,progressive
Jolene had agreed with Bill,past perfect,perfect
Jolene was meeting with Bill,past progressive,progressive
Jolene will agree with Bill,future simple,progressive
Jolene was meeting with Bill,past progressive,progressive
Jolene agrees with Bill,present simple,progressive
Jolene was meeting with Bill,past progressive,progressive
Jolene agreed with Bill,past simple,perfect
Jolene has met with Bill,present perfect,perfect
Jolene has agreed with Bill,present perfect,perfect
Jolene has met with Bill,present perfect,perfect
Jolene had agreed with Bill,past perfect,perfect
Jolene has met with Bill,present perfect,perfect
Jolene will agree with Bill,future simple,progressive
Jolene has met with Bill,present perfect,perfect
Jolene agrees with Bill,present simple,progressive
Jolene has met with Bill,present perfect,perfect
Jolene agreed with Bill,past simple,perfect
Jolene had met with Bill,past perfect,perfect
Jolene has agreed with Bill,present perfect,perfect
Jolene had met with Bill,past perfect,perfect
Jolene had agreed with Bill,past perfect,perfect
Jolene had met with Bill,past perfect,perfect
Jolene will agree with Bill,future simple,progressive
Jolene had met with Bill,past perfect,perfect
Jolene agrees with Bill,present simple,progressive
Jolene had met with Bill,past perfect,perfect
Jolene agreed with Bill,past simple,perfect
Jolene will meet with Bill,future simple,progressive
Jolene has agreed with Bill,present perfect,perfect
Jolene will meet with Bill,future simple,progressive
Jolene had agreed with Bill,past perfect,perfect
Jolene will meet with Bill,future simple,progressive
Jolene will agree with Bill,future simple,progressive
Jolene will meet with Bill,future simple,progressive
Jolene agrees with Bill,present simple,progressive
Jolene will meet with Bill,future simple,progressive
Jolene agreed with Bill,past simple,perfect
Jolene meets with Bill,present simple,progressive
Jolene has agreed with Bill,present perfect,perfect
Jolene meets with Bill,present simple,progressive
Jolene had agreed with Bill,past perfect,perfect
Jolene meets with Bill,present simple,progressive
Jolene will agree with Bill,future simple,progressive
Jolene meets with Bill,present simple,progressive
Jolene agrees with Bill,present simple,progressive
Jolene meets with Bill,present simple,progressive
Jolene agreed with Bill,past simple,perfect
Jolene met with Bill,past simple,perfect
Jolene has agreed with Bill,present perfect,perfect
Jolene met with Bill,past simple,perfect
Jolene had agreed with Bill,past perfect,perfect
Jolene met with Bill,past simple,perfect
Jolene will agree with Bill,future simple,progressive
Jolene met with Bill,past simple,perfect
Jolene agrees with Bill,present simple,progressive
Jolene met with Bill,past simple,perfect
Jolene agreed with Bill,past simple,perfect
Jolene has agreed with Bill,present perfect,perfect
Jolene is meeting with Bill,present progressive,progressive
Jolene has agreed with Bill,present perfect,perfect
Jolene was meeting with Bill,past progressive,progressive
Jolene has agreed with Bill,present perfect,perfect
Jolene has met with Bill,present perfect,perfect
Jolene has agreed with Bill,present perfect,perfect
Jolene had met with Bill,past perfect,perfect
Jolene has agreed with Bill,present perfect,perfect
Jolene will meet with Bill,future simple,progressive
Jolene has agreed with Bill,present perfect,perfect
Jolene meets with Bill,present simple,progressive
Jolene has agreed with Bill,present perfect,perfect
Jolene met with Bill,past simple,perfect
Jolene had agreed with Bill,past perfect,perfect
Jolene is meeting with Bill,present progressive,progressive
Jolene had agreed with Bill,past perfect,perfect
Jolene was meeting with Bill,past progressive,progressive
Jolene had agreed with Bill,past perfect,perfect
Jolene has met with Bill,present perfect,perfect
Jolene had agreed with Bill,past perfect,perfect
Jolene had met with Bill,past perfect,perfect
Jolene had agreed with Bill,past perfect,perfect
Jolene will meet with Bill,future simple,progressive
Jolene had agreed with Bill,past perfect,perfect
Jolene meets with Bill,present simple,progressive
Jolene had agreed with Bill,past perfect,perfect
Jolene met with Bill,past simple,perfect
Jolene will agree with Bill,future simple,progressive
Jolene is meeting with Bill,present progressive,progressive
Jolene will agree with Bill,future simple,progressive
Jolene was meeting with Bill,past progressive,progressive
Jolene will agree with Bill,future simple,progressive
Jolene has met with Bill,present perfect,perfect
Jolene will agree with Bill,future simple,progressive
Jolene had met with Bill,past perfect,perfect
Jolene will agree with Bill,future simple,progressive
Jolene will meet with Bill,future simple,progressive
Jolene will agree with Bill,future simple,progressive
Jolene meets with Bill,present simple,progressive
Jolene will agree with Bill,future simple,progressive
Jolene met with Bill,past simple,perfect
Jolene agrees with Bill,present simple,progressive
Jolene is meeting with Bill,present progressive,progressive
Jolene agrees with Bill,present simple,progressive
Jolene was meeting with Bill,past progressive,progressive
Jolene agrees with Bill,present simple,progressive
Jolene has met with Bill,present perfect,perfect
Jolene agrees with Bill,present simple,progressive
Jolene had met with Bill,past perfect,perfect
Jolene agrees with Bill,present simple,progressive
Jolene will meet with Bill,future simple,progressive
Jolene agrees with Bill,present simple,progressive
Jolene meets with Bill,present simple,progressive
Jolene agrees with Bill,present simple,progressive
Jolene met with Bill,past simple,perfect
Jolene agreed with Bill,past simple,perfect
Jolene is meeting with Bill,present progressive,progressive
Jolene agreed with Bill,past simple,perfect
Jolene was meeting with Bill,past progressive,progressive
Jolene agreed with Bill,past simple,perfect
Jolene has met with Bill,present perfect,perfect
Jolene agreed with Bill,past simple,perfect
Jolene had met with Bill,past perfect,perfect
Jolene agreed with Bill,past simple,perfect
Jolene will meet with Bill,future simple,progressive
Jolene agreed with Bill,past simple,perfect
Jolene meets with Bill,present simple,progressive
Jolene agreed with Bill,past simple,perfect
Jolene met with Bill,past simple,perfect
The processor is compiling the program,present progressive,progressive
The processor is assembling the program,present progressive,progressive
The processor is compiling the program,present progressive,progressive
The processor was assembling the program,past progressive,progressive
The processor is compiling the program,present progressive,progressive
The processor has assembled the program,present perfect,perfect
The processor is compiling the program,present progressive,progressive
The processor had assembled the program,past perfect,perfect
The processor is compiling the program,present progressive,progressive
The processor will assemble the program,future simple,progressive
The processor is compiling the program,present progressive,progressive
The processor assembles the program,present simple,progressive
The processor is compiling the program,present progressive,progressive
The processor assembled the program,past simple,perfect
The processor was compiling the program,past progressive,progressive
The processor is assembling the program,present progressive,progressive
The processor was compiling the program,past progressive,progressive
The processor was assembling the program,past progressive,progressive
The processor was compiling the program,past progressive,progressive
The processor has assembled the program,present perfect,perfect
The processor was compiling the program,past progressive,progressive
The processor had assembled the program,past perfect,perfect
The processor was compiling the program,past progressive,progressive
The processor will assemble the program,future simple,progressive
The processor was compiling the program,past progressive,progressive
The processor assembles the program,present simple,progressive
The processor was compiling the program,past progressive,progressive
The processor assembled the program,past simple,perfect
The processor has compiled the program,present perfect,perfect
The processor is assembling the program,present progressive,progressive
The processor has compiled the program,present perfect,perfect
The processor was assembling the program,past progressive,progressive
The processor has compiled the program,present perfect,perfect
The processor has assembled the program,present perfect,perfect
The processor has compiled the program,present perfect,perfect
The processor had assembled the program,past perfect,perfect
The processor has compiled the program,present perfect,perfect
The processor will assemble the program,future simple,progressive
The processor has compiled the program,present perfect,perfect
The processor assembles the program,present simple,progressive
The processor has compiled the program,present perfect,perfect
The processor assembled the program,past simple,perfect
The processor had compiled the program,past perfect,perfect
The processor is assembling the program,present progressive,progressive
The processor had compiled the program,past perfect,perfect
The processor was assembling the program,past progressive,progressive
The processor had compiled the program,past perfect,perfect
The processor has assembled the program,present perfect,perfect
The processor had compiled the program,past perfect,perfect
The processor had assembled the program,past perfect,perfect
The processor had compiled the program,past perfect,perfect
The processor will assemble the program,future simple,progressive
The processor had compiled the program,past perfect,perfect
The processor assembles the program,present simple,progressive
The processor had compiled the program,past perfect,perfect
The processor assembled the program,past simple,perfect
The processor will compile the program,future simple,progressive
The processor is assembling the program,present progressive,progressive
The processor will compile the program,future simple,progressive
The processor was assembling the program,past progressive,progressive
The processor will compile the program,future simple,progressive
The processor has assembled the program,present perfect,perfect
The processor will compile the program,future simple,progressive
The processor had assembled the program,past perfect,perfect
The processor will compile the program,future simple,progressive
The processor will assemble the program,future simple,progressive
The processor will compile the program,future simple,progressive
The processor assembles the program,present simple,progressive
The processor will compile the program,future simple,progressive
The processor assembled the program,past simple,perfect
The processor compiles the program,present simple,progressive
The processor is assembling the program,present progressive,progressive
The processor compiles the program,present simple,progressive
The processor was assembling the program,past progressive,progressive
The processor compiles the program,present simple,progressive
The processor has assembled the program,present perfect,perfect
The processor compiles the program,present simple,progressive
The processor had assembled the program,past perfect,perfect
The processor compiles the program,present simple,progressive
The processor will assemble the program,future simple,progressive
The processor compiles the program,present simple,progressive
The processor assembles the program,present simple,progressive
The processor compiles the program,present simple,progressive
The processor assembled the program,past simple,perfect
The processor compiled the program,past simple,perfect
The processor is assembling the program,present progressive,progressive
The processor compiled the program,past simple,perfect
The processor was assembling the program,past progressive,progressive
The processor compiled the program,past simple,perfect
The processor has assembled the program,present perfect,perfect
The processor compiled the program,past simple,perfect
The processor had assembled the program,past perfect,perfect
The processor compiled the program,past simple,perfect
The processor will assemble the program,future simple,progressive
The processor compiled the program,past simple,perfect
The processor assembles the program,present simple,progressive
The processor compiled the program,past simple,perfect
The processor assembled the program,past simple,perfect
The processor is assembling the program,present progressive,progressive
The processor is compiling the program,present progressive,progressive
The processor is assembling the program,present progressive,progressive
The processor was compiling the program,past progressive,progressive
The processor is assembling the program,present progressive,progressive
The processor has compiled the program,present perfect,perfect
The processor is assembling the program,present progressive,progressive
The processor had compiled the program,past perfect,perfect
The processor is assembling the program,present progressive,progressive
The processor will compile the program,future simple,progressive
The processor is assembling the program,present progressive,progressive
The processor compiles the program,present simple,progressive
The processor is assembling the program,present progressive,progressive
The processor compiled the program,past simple,perfect
The processor was assembling the program,past progressive,progressive
The processor is compiling the program,present progressive,progressive
The processor was assembling the program,past progressive,progressive
The processor was compiling the program,past progressive,progressive
The processor was assembling the program,past progressive,progressive
The processor has compiled the program,present perfect,perfect
The processor was assembling the program,past progressive,progressive
The processor had compiled the program,past perfect,perfect
The processor was assembling the program,past progressive,progressive
The processor will compile the program,future simple,progressive
The processor was assembling the program,past progressive,progressive
The processor compiles the program,present simple,progressive
The processor was assembling the program,past progressive,progressive
The processor compiled the program,past simple,perfect
The processor has assembled the program,present perfect,perfect
The processor is compiling the program,present progressive,progressive
The processor has assembled the program,present perfect,perfect
The processor was compiling the program,past progressive,progressive
The processor has assembled the program,present perfect,perfect
The processor has compiled the program,present perfect,perfect
The processor has assembled the program,present perfect,perfect
The processor had compiled the program,past perfect,perfect
The processor has assembled the program,present perfect,perfect
The processor will compile the program,future simple,progressive
The processor has assembled the program,present perfect,perfect
The processor compiles the program,present simple,progressive
The processor has assembled the program,present perfect,perfect
The processor compiled the program,past simple,perfect
The processor had assembled the program,past perfect,perfect
The processor is compiling the program,present progressive,progressive
The processor had assembled the program,past perfect,perfect
The processor was compiling the program,past progressive,progressive
The processor had assembled the program,past perfect,perfect
The processor has compiled the program,present perfect,perfect
The processor had assembled the program,past perfect,perfect
The processor had compiled the program,past perfect,perfect
The processor had assembled the program,past perfect,perfect
The processor will compile the program,future simple,progressive
The processor had assembled the program,past perfect,perfect
The processor compiles the program,present simple,progressive
The processor had assembled the program,past perfect,perfect
The processor compiled the program,past simple,perfect
The processor will assemble the program,future simple,progressive
The processor is compiling the program,present progressive,progressive
The processor will assemble the program,future simple,progressive
The processor was compiling the program,past progressive,progressive
The processor will assemble the program,future simple,progressive
The processor has compiled the program,present perfect,perfect
The processor will assemble the program,future simple,progressive
The processor had compiled the program,past perfect,perfect
The processor will assemble the program,future simple,progressive
The processor will compile the program,future simple,progressive
The processor will assemble the program,future simple,progressive
The processor compiles the program,present simple,progressive
The processor will assemble the program,future simple,progressive
The processor compiled the program,past simple,perfect
The processor assembles the program,present simple,progressive
The processor is compiling the program,present progressive,progressive
The processor assembles the program,present simple,progressive
The processor was compiling the program,past progressive,progressive
The processor assembles the program,present simple,progressive
The processor has compiled the program,present perfect,perfect
The processor assembles the program,present simple,progressive
The processor had compiled the program,past perfect,perfect
The processor assembles the program,present simple,progressive
The processor will compile the program,future simple,progressive
The processor assembles the program,present simple,progressive
The processor compiles the program,present simple,progressive
The processor assembles the program,present simple,progressive
The processor compiled the program,past simple,perfect
The processor assembled the program,past simple,perfect
The processor is compiling the program,present progressive,progressive
The processor assembled the program,past simple,perfect
The processor was compiling the program,past progressive,progressive
The processor assembled the program,past simple,perfect
The processor has compiled the program,present perfect,perfect
The processor assembled the program,past simple,perfect
The processor had compiled the program,past perfect,perfect
The processor assembled the program,past simple,perfect
The processor will compile the program,future simple,progressive
The processor assembled the program,past simple,perfect
The processor compiles the program,present simple,progressive
The processor assembled the program,past simple,perfect
The processor compiled the program,past simple,perfect
Anne has agreed with Barbara,present perfect,perfect
Anne is talking to Barbara,present progressive,progressive
Anne has agreed with Barbara,present perfect,perfect
Anne was talking to Barbara,past progressive,progressive
Anne has agreed with Barbara,present perfect,perfect
Anne has talked to Barbara,present perfect,perfect
Anne has agreed with Barbara,present perfect,perfect
Anne had talked to Barbara,past perfect,perfect
Anne has agreed with Barbara,present perfect,perfect
Anne will talk to Barbara,future simple,progressive
Anne has agreed with Barbara,present perfect,perfect
Anne talks to Barbara,present simple,progressive
Anne has agreed with Barbara,present perfect,perfect
Anne talked to Barbara,past simple,perfect
Anne had agreed with Barbara,past perfect,perfect
Anne is talking to Barbara,present progressive,progressive
Anne had agreed with Barbara,past perfect,perfect
Anne was talking to Barbara,past progressive,progressive
Anne had agreed with Barbara,past perfect,perfect
Anne has talked to Barbara,present perfect,perfect
Anne had agreed with Barbara,past perfect,perfect
Anne had talked to Barbara,past perfect,perfect
Anne had agreed with Barbara,past perfect,perfect
Anne will talk to Barbara,future simple,progressive
Anne had agreed with Barbara,past perfect,perfect
Anne talks to Barbara,present simple,progressive
Anne had agreed with Barbara,past perfect,perfect
Anne talked to Barbara,past simple,perfect
Anne will agree with Barbara,future simple,progressive
Anne is talking to Barbara,present progressive,progressive
Anne will agree with Barbara,future simple,progressive
Anne was talking to Barbara,past progressive,progressive
Anne will agree with Barbara,future simple,progressive
Anne has talked to Barbara,present perfect,perfect
Anne will agree with Barbara,future simple,progressive
Anne had talked to Barbara,past perfect,perfect
Anne will agree with Barbara,future simple,progressive
Anne will talk to Barbara,future simple,progressive
Anne will agree with Barbara,future simple,progressive
Anne talks to Barbara,present simple,progressive
Anne will agree with Barbara,future simple,progressive
Anne talked to Barbara,past simple,perfect
Anne agrees with Barbara,present simple,progressive
Anne is talking to Barbara,present progressive,progressive
Anne agrees with Barbara,present simple,progressive
Anne was talking to Barbara,past progressive,progressive
Anne agrees with Barbara,present simple,progressive
Anne has talked to Barbara,present perfect,perfect
Anne agrees with Barbara,present simple,progressive
Anne had talked to Barbara,past perfect,perfect
Anne agrees with Barbara,present simple,progressive
Anne will talk to Barbara,future simple,progressive
Anne agrees with Barbara,present simple,progressive
Anne talks to Barbara,present simple,progressive
Anne agrees with Barbara,present simple,progressive
Anne talked to Barbara,past simple,perfect
Anne agreed with Barbara,past simple,perfect
Anne is talking to Barbara,present progressive,progressive
Anne agreed with Barbara,past simple,perfect
Anne was talking to Barbara,past progressive,progressive
Anne agreed with Barbara,past simple,perfect
Anne has talked to Barbara,present perfect,perfect
Anne agreed with Barbara,past simple,perfect
Anne had talked to Barbara,past perfect,perfect
Anne agreed with Barbara,past simple,perfect
Anne will talk to Barbara,future simple,progressive
Anne agreed with Barbara,past simple,perfect
Anne talks to Barbara,present simple,progressive
Anne agreed with Barbara,past simple,perfect
Anne talked to Barbara,past simple,perfect
Anne is talking to Barbara,present progressive,progressive
Anne has agreed with Barbara,present perfect,perfect
Anne is talking to Barbara,present progressive,progressive
Anne had agreed with Barbara,past perfect,perfect
Anne is talking to Barbara,present progressive,progressive
Anne will agree with Barbara,future simple,progressive
Anne is talking to Barbara,present progressive,progressive
Anne agrees with Barbara,present simple,progressive
Anne is talking to Barbara,present progressive,progressive
Anne agreed with Barbara,past simple,perfect
Anne was talking to Barbara,past progressive,progressive
Anne has agreed with Barbara,present perfect,perfect
Anne was talking to Barbara,past progressive,progressive
Anne had agreed with Barbara,past perfect,perfect
Anne was talking to Barbara,past progressive,progressive
Anne will agree with Barbara,future simple,progressive
Anne was talking to Barbara,past progressive,progressive
Anne agrees with Barbara,present simple,progressive
Anne was talking to Barbara,past progressive,progressive
Anne agreed with Barbara,past simple,perfect
Anne has talked to Barbara,present perfect,perfect
Anne has agreed with Barbara,present perfect,perfect
Anne has talked to Barbara,present perfect,perfect
Anne had agreed with Barbara,past perfect,perfect
Anne has talked to Barbara,present perfect,perfect
Anne will agree with Barbara,future simple,progressive
Anne has talked to Barbara,present perfect,perfect
Anne agrees with Barbara,present simple,progressive
Anne has talked to Barbara,present perfect,perfect
Anne agreed with Barbara,past simple,perfect
Anne had talked to Barbara,past perfect,perfect
Anne has agreed with Barbara,present perfect,perfect
Anne had talked to Barbara,past perfect,perfect
Anne had agreed with Barbara,past perfect,perfect
Anne had talked to Barbara,past perfect,perfect
Anne will agree with Barbara,future simple,progressive
Anne had talked to Barbara,past perfect,perfect
Anne agrees with Barbara,present simple,progressive
Anne had talked to Barbara,past perfect,perfect
Anne agreed with Barbara,past simple,perfect
Anne will talk to Barbara,future simple,progressive
Anne has agreed with Barbara,present perfect,perfect
Anne will talk to Barbara,future simple,progressive
Anne had agreed with Barbara,past perfect,perfect
Anne will talk to Barbara,future simple,progressive
Anne will agree with Barbara,future simple,progressive
Anne will talk to Barbara,future simple,progressive
Anne agrees with Barbara,present simple,progressive
Anne will talk to Barbara,future simple,progressive
Anne agreed with Barbara,past simple,perfect
Anne talks to Barbara,present simple,progressive
Anne has agreed with Barbara,present perfect,perfect
Anne talks to Barbara,present simple,progressive
Anne had agreed with Barbara,past perfect,perfect
Anne talks to Barbara,present simple,progressive
Anne will agree with Barbara,future simple,progressive
Anne talks to Barbara,present simple,progressive
Anne agrees with Barbara,present simple,progressive
Anne talks to Barbara,present simple,progressive
Anne agreed with Barbara,past simple,perfect
Anne talked to Barbara,past simple,perfect
Anne has agreed with Barbara,present perfect,perfect
Anne talked to Barbara,past simple,perfect
Anne had agreed with Barbara,past perfect,perfect
Anne talked to Barbara,past simple,perfect
Anne will agree with Barbara,future simple,progressive
Anne talked to Barbara,past simple,perfect
Anne agrees with Barbara,present simple,progressive
Anne talked to Barbara,past simple,perfect
Anne agreed with Barbara,past simple,perfect
Jack is searching for the map,present progressive,progressive
Jack has found the map,present perfect,perfect
Jack is searching for the map,present progressive,progressive
Jack had found the map,past perfect,perfect
Jack is searching for the map,present progressive,progressive
Jack will find the map,future simple,progressive
Jack is searching for the map,present progressive,progressive
Jack finds the map,present simple,progressive
Jack is searching for the map,present progressive,progressive
Jack found the map,past simple,perfect
Jack was searching for the map,past progressive,progressive
Jack has found the map,present perfect,perfect
Jack was searching for the map,past progressive,progressive
Jack had found the map,past perfect,perfect
Jack was searching for the map,past progressive,progressive
Jack will find the map,future simple,progressive
Jack was searching for the map,past progressive,progressive
Jack finds the map,present simple,progressive
Jack was searching for the map,past progressive,progressive
Jack found the map,past simple,perfect
Jack has searched for the map,present perfect,perfect
Jack has found the map,present perfect,perfect
Jack has searched for the map,present perfect,perfect
Jack had found the map,past perfect,perfect
Jack has searched for the map,present perfect,perfect
Jack will find the map,future simple,progressive
Jack has searched for the map,present perfect,perfect
Jack finds the map,present simple,progressive
Jack has searched for the map,present perfect,perfect
Jack found the map,past simple,perfect
Jack had searched for the map,past perfect,perfect
Jack has found the map,present perfect,perfect
Jack had searched for the map,past perfect,perfect
Jack had found the map,past perfect,perfect
Jack had searched for the map,past perfect,perfect
Jack will find the map,future simple,progressive
Jack had searched for the map,past perfect,perfect
Jack finds the map,present simple,progressive
Jack had searched for the map,past perfect,perfect
Jack found the map,past simple,perfect
Jack will search for the map,future simple,progressive
Jack has found the map,present perfect,perfect
Jack will search for the map,future simple,progressive
Jack had found the map,past perfect,perfect
Jack will search for the map,future simple,progressive
Jack will find the map,future simple,progressive
Jack will search for the map,future simple,progressive
Jack finds the map,present simple,progressive
Jack will search for the map,future simple,progressive
Jack found the map,past simple,perfect
Jack searches for the map,present simple,progressive
Jack has found the map,present perfect,perfect
Jack searches for the map,present simple,progressive
Jack had found the map,past perfect,perfect
Jack searches for the map,present simple,progressive
Jack will find the map,future simple,progressive
Jack searches for the map,present simple,progressive
Jack finds the map,present simple,progressive
Jack searches for the map,present simple,progressive
Jack found the map,past simple,perfect
Jack searched for the map,past simple,perfect
Jack has found the map,present perfect,perfect
Jack searched for the map,past simple,perfect
Jack had found the map,past perfect,perfect
Jack searched for the map,past simple,perfect
Jack will find the map,future simple,progressive
Jack searched for the map,past simple,perfect
Jack finds the map,present simple,progressive
Jack searched for the map,past simple,perfect
Jack found the map,past simple,perfect
Jack has found the map,present perfect,perfect
Jack is searching for the map,present progressive,progressive
Jack has found the map,present perfect,perfect
Jack was searching for the map,past progressive,progressive
Jack has found the map,present perfect,perfect
Jack has searched for the map,present perfect,perfect
Jack has found the map,present perfect,perfect
Jack had searched for the map,past perfect,perfect
Jack has found the map,present perfect,perfect
Jack will search for the map,future simple,progressive
Jack has found the map,present perfect,perfect
Jack searches for the map,present simple,progressive
Jack has found the map,present perfect,perfect
Jack searched for the map,past simple,perfect
Jack had found the map,past perfect,perfect
Jack is searching for the map,present progressive,progressive
Jack had found the map,past perfect,perfect
Jack was searching for the map,past progressive,progressive
Jack had found the map,past perfect,perfect
Jack has searched for the map,present perfect,perfect
Jack had found the map,past perfect,perfect
Jack had searched for the map,past perfect,perfect
Jack had found the map,past perfect,perfect
Jack will search for the map,future simple,progressive
Jack had found the map,past perfect,perfect
Jack searches for the map,present simple,progressive
Jack had found the map,past perfect,perfect
Jack searched for the map,past simple,perfect
Jack will find the map,future simple,progressive
Jack is searching for the map,present progressive,progressive
Jack will find the map,future simple,progressive
Jack was searching for the map,past progressive,progressive
Jack will find the map,future simple,progressive
Jack has searched for the map,present perfect,perfect
Jack will find the map,future simple,progressive
Jack had searched for the map,past perfect,perfect
Jack will find the map,future simple,progressive
Jack will search for the map,future simple,progressive
Jack will find the map,future simple,progressive
Jack searches for the map,present simple,progressive
Jack will find the map,future simple,progressive
Jack searched for the map,past simple,perfect
Jack finds the map,present simple,progressive
Jack is searching for the map,present progressive,progressive
Jack finds the map,present simple,progressive
Jack was searching for the map,past progressive,progressive
Jack finds the map,present simple,progressive
Jack has searched for the map,present perfect,perfect
Jack finds the map,present simple,progressive
Jack had searched for the map,past perfect,perfect
Jack finds the map,present simple,progressive
Jack will search for the map,future simple,progressive
Jack finds the map,present simple,progressive
Jack searches for the map,present simple,progressive
Jack finds the map,present simple,progressive
Jack searched for the map,past simple,perfect
Jack found the map,past simple,perfect
Jack is searching for the map,present progressive,progressive
Jack found the map,past simple,perfect
Jack was searching for the map,past progressive,progressive
Jack found the map,past simple,perfect
Jack has searched for the map,present perfect,perfect
Jack found the map,past simple,perfect
Jack had searched for the map,past perfect,perfect
Jack found the map,past simple,perfect
Jack will search for the map,future simple,progressive
Jack found the map,past simple,perfect
Jack searches for the map,present simple,progressive
Jack found the map,past simple,perfect
Jack searched for the map,past simple,perfect
Russia is occupying Crimea,present progressive,progressive
